Question,Option A,Option B,Option C,Option D,Correct Answer
운동장에서( ) 친구와 부딪혀서 넘어졌다.,축구할수록,축구하던데,축구하다가,축구하려고,축구하다가
나는 저녁을( ) 집 앞 공원에서 산책을 한다.,먹고 나서,먹다 보면,먹을 만큼,먹는 길에,먹고 나서
내일 전시회가( ) 사람들이 많이 올 것 같다.,열리듯이,열리는데,열리든지,열리도록,열리는데
이번 생일에 딸에게( ) 인형을 만들었다.,선물하도록,선물하든지,선물하려고,선물하기에,선물하려고
일할 때 실수를 하지( ) 미리 준비를 해야 한다.,않기에는,않을수록,않으려면,않으니까,않으려면
급하게( ) 우산을 챙겨 나오는 걸 깜빡했다.,나오는데도,나오자마자,나오더라도,나오느라고,나오느라고
뭐든지 최선을( ) 회사 생활을 잘 할 수 있다.,다해야,다해도,다하도록,다하려면,다하려면
전화번호를( ) 휴대 전화에 얼른 저장했다.,잊어버릴까 봐서,잊어버릴 정도로,잊어버릴 테니까,잊어버릴 겸해서,잊어버릴까 봐서
몸이( ) 힘들면 고향 생각이 많이 난다.,아프다면,아프지만,아프듯이,아프거나,아프듯이
나는 학교를( ) 운전 면허증을 땄다.,졸업하도록,졸업하든지,졸업하더라도,졸업하자마자,졸업하자마자
사무실을 청소하면서 중요한 서류인 것 같아서 서랍에( ).,넣어 놓았다,넣을 뻔했다,넣고 있었다,넣기만 했다,넣어 놓았다
나는 새해에 열심히 운동해서 살을( ).,뺄 뻔했다,빼기로 했다,뺄 리가 없다,빼려던 참이다,빼기로 했다
시험 시작 40분 전까지 강의실에 ( ).,들어가면 된다,들어가곤 한다,들어가게 된다,들어가기 쉽다,들어가면 된다
엄마는 아이에게 밤 9시 이후에는 게임을 못( ).,하곤 했다,하게 했다,해야 했다,할까 했다,하게 했다
나는 부모님의 뒤를 이어 식당을 ( ).,맡게 됐다,맡아 놓았다,맡을 뿐이었다,맡을 모양이었다,맡게 됐다
나는 어렸을 때 피아노를( ).,배우는 중이다,배운 적이 있다,배우려던 참이다,배울지도 모른다,배운 적이 있다
조금 전에 은행에 갔다 왔는데 문이( ).,닫힌 셈이다,닫혀 있었다,닫힐 뻔했다,닫혔을 뿐이다,닫혀 있었다
를 배운 지 거의 2년이다( ).,되어 간다,되면 좋겠다,되어야 한다,되기로 했다,되어 간다
고객들에게 안내장을 보냈으니까 모든 준비를( ).,마친 셈이다,마치려던 참이다,마치기 마련이다,마치기 십상이다,마친 셈이다
그 의사는 20년간 환자들을 무료로 ( ).,치료해 왔다,치료하게 했다,치료하는 법이다,치료하려던 참이다,치료해 왔다
운동장에서( ) 친구와 부딪혀서 넘어졌다.,축구할수록,축구하던데,축구하다가,축구하려고,축구하다가
사무실을 청소하면서 중요한 서류인 것 같아서 서랍에( ).,넣어 놓았다,넣을 뻔했다,넣고 있었다,넣기만 했다,넣어 놓았다
급하게( ) 우산을 챙겨 나오는 걸 깜빡했다.,나오는데도,나오자마자,나오더라도,나오느라고,나오느라고
나는 학교를( ) 운전 면허증을 땄다.,졸업하도록,졸업하든지,졸업하더라도,졸업하자마자,졸업하자마자
시험 시작 40분 전까지 강의실에 ( ).,들어가면 된다,들어가곤 한다,들어가게 된다,들어가기 쉽다,들어가게 된다
나는 저녁을( ) 집 앞 공원에서 산책을 한다.,먹고 나서,먹다 보면,먹을 만큼,먹는 길에,먹고 나서
사무실에서 일을( ) 바로 퇴근했다.,끝내고 나서,끝내던지,끝내면 되다,끝내면서,끝내고 나서
시험이 끝난( ) 친구들과 영화를 보러 갔다.,후에,다음에,고 나서,하면서,고 나서
