dialogue, option1, option2, option3, option4, correct_option_number
여자: 민수 씨 이번 주 모임 장소가 바뀌었대요\n남자: 그래요? 어디로 바뀌었어요?\n여자:,장소를 다시 말해 주세요,다음 모임은 안 갈 거예요,이번 주에 만나면 좋겠어요,정문 옆에 있는 식당이에요,4
남자: 기차표 알아봤는데 금요일 오후 표는 없는 것 같아\n여자: 그럼 토요일 아침 어때?\n남자:,아침 일찍 기차를 탔어,표가 없어서 아직 못 갔어,표가 있는지 한번 알아볼게,금요일 오후 표는 취소하자,3
여자: 내일 발표만 끝나면 이제 이번 학기도 끝나네요\n남자: 그러게요 수미 씨 방학 계획은 세웠어요?\n여자:,발표는 늘 어렵지요,계획부터 세워 보세요,외국어 공부를 좀 할까 해요,학기가 시작되면 많이 바빠요,3
남자: 이번에 새로 시작한 드라마 말이야 진짜 재미있더라\n여자: 아 그 시골에서 할머니랑 사는 아이 이야기?\n남자:,응 시골에서 산 적이 있어,아니 너무 지루해서 졸았어,아니 드라마 볼 시간이 없었어,응 두 사람 보면서 한참 웃었어,4
여자: 오늘 회의가 오후 3시였죠?\n남자: 아니에요 시간이 조금 바뀌었어요\n여자:,그럼 몇 시에 시작해요?,회의실은 어디예요?,다음 주는 괜찮을까요?,저는 오늘 바빠요,1
남자: 이번 주말에 등산 갈 건데 같이 갈래요?\n여자: 좋아요 그런데 준비물이 뭐예요?\n남자:,아직 안 정했어요,꼭 운동화를 신으세요,주말에는 날씨가 안 좋아요,저는 등산을 잘 못해요,2
여자: 오늘 도서관에서 공부했어요?\n남자: 네 아침부터 있었어요\n여자:,도서관은 조용해요,그럼 점심은 어떻게 했어요?,공부는 항상 어려워요,저는 도서관을 몰라요,2
남자: 요즘 운동을 시작했어요\n여자: 그래요? 무슨 운동을 해요?\n남자:,운동은 재미없어요,요가를 배우고 있어요,날씨가 더워졌어요,운동화를 샀어요,2
여자: 어제 본 영화 어땠어요?\n남자: 생각보다 재미있었어요\n여자:,영화는 항상 길어요,그럼 저도 한번 볼게요,저는 영화관을 안 좋아해요,어제는 집에 있었어요,2
남자: 주말에 뭐 했어요?\n여자: 친구들이랑 바닷가에 다녀왔어요\n남자:,친구는 많아요,날씨가 추웠어요,재미있었겠네요!,저는 바다를 싫어해요,3
여자: 오늘 회사에서 회의 있었어요?\n남자: 네 오전 10시에 했어요\n여자:,저는 10시에 잤어요,무슨 내용이었어요?,회사는 크지 않아요,회의는 자주 해요,2
남자: 오늘 저녁에 시간 있어요?\n여자: 네 왜요?\n남자:,저녁을 안 먹었어요,집에 가야 돼요,같이 식사하실래요?,오늘은 추워요,3
여자: 지하철이 너무 복잡하네요\n남자: 그러게요 아침 시간이라 그래요\n여자:,그럼 버스를 탈까요?,저는 지하철을 몰라요,날씨는 어때요?,다음 역은 어디예요?,1
